name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
2 BISCUITS,1.91,,KFC / TB (919 FEDERAL RD),"UBEREATS, HOUSTON, TX",,,,,,,
4 PC. CHICKEN COMBO,11.75,,KFC / TB (919 FEDERAL RD),"UBEREATS, HOUSTON, TX",,,,,,,
FAMOUS BOWL FILL UP,6.59,,KFC / TB (919 FEDERAL RD),"UBEREATS, HOUSTON, TX",,,,,,,
FAMOUS BOWL,5.99,,KFC / TB (919 FEDERAL RD),"UBEREATS, HOUSTON, TX",,,,,,,
POPCORN NUGGETS COMBO,7.67,,KFC / TB (919 FEDERAL RD),"UBEREATS, HOUSTON, TX",,,,,,,
10 PIECE FEAST,36.0,,KFC / TB (919 FEDERAL RD),"UBEREATS, HOUSTON, TX",,,,,,,
16 PC. FAMILY BUCKET MEAL,46.79,,KFC / TB (919 FEDERAL RD),"UBEREATS, HOUSTON, TX",,,,,,,
16 PC. CHICKEN,31.19,,KFC / TB (919 FEDERAL RD),"UBEREATS, HOUSTON, TX",,,,,,,
2 PC. DRUM & THIGH FILL UP,6.59,,KFC / TB (919 FEDERAL RD),"UBEREATS, HOUSTON, TX",,,,,,,
2 PC. BREAST & WING COMBO,8.15,,KFC / TB (919 FEDERAL RD),"UBEREATS, HOUSTON, TX",,,,,,,
CLASSIC CHICKEN SANDWICH BOX,10.79,,KFC / TB (919 FEDERAL RD),"UBEREATS, HOUSTON, TX",,,,,,,
SPICY CHICKEN SANDWICH BOX,10.79,,KFC / TB (919 FEDERAL RD),"UBEREATS, HOUSTON, TX",,,,,,,
1 PC. BREAST FILL UP,6.59,,KFC / TB (919 FEDERAL RD),"UBEREATS, HOUSTON, TX",,,,,,,
POT PIE FILL UP,6.59,,KFC / TB (919 FEDERAL RD),"UBEREATS, HOUSTON, TX",,,,,,,
CLASSIC CHICKEN SANDWICH,4.79,,KFC / TB (919 FEDERAL RD),"UBEREATS, HOUSTON, TX",,,,,,,
CLASSIC CHICKEN SANDWICH COMBO,8.39,,KFC / TB (919 FEDERAL RD),"UBEREATS, HOUSTON, TX",,,,,,,
SPICY CLASSIC CHICKEN SANDWICH,4.79,,KFC / TB (919 FEDERAL RD),"UBEREATS, HOUSTON, TX",,,,,,,
SPICY CHICKEN SANDWICH COMBO,8.39,,KFC / TB (919 FEDERAL RD),"UBEREATS, HOUSTON, TX",,,,,,,
A LA CARTE BREAST,3.59,,KFC / TB (919 FEDERAL RD),"UBEREATS, HOUSTON, TX",,,,,,,
A LA CARTE DRUM,3.35,,KFC / TB (919 FEDERAL RD),"UBEREATS, HOUSTON, TX",,,,,,,
A LA CARTE THIGH,3.35,,KFC / TB (919 FEDERAL RD),"UBEREATS, HOUSTON, TX",,,,,,,
A LA CARTE WING,2.39,,KFC / TB (919 FEDERAL RD),"UBEREATS, HOUSTON, TX",,,,,,,
LARGE POPCORN NUGGETS,5.15,,KFC / TB (919 FEDERAL RD),"UBEREATS, HOUSTON, TX",,,,,,,
12 CHOCOLATE CHIP COOKIES,6.35,,KFC / TB (919 FEDERAL RD),"UBEREATS, HOUSTON, TX",,,,,,,
MEDIUM BEVERAGE,2.39,,KFC / TB (919 FEDERAL RD),"UBEREATS, HOUSTON, TX",,,,,,,
LARGE BEVERAGE,2.63,,KFC / TB (919 FEDERAL RD),"UBEREATS, HOUSTON, TX",,,,,,,
1/2 GALLON BEVERAGE BUCKET,4.79,,KFC / TB (919 FEDERAL RD),"UBEREATS, HOUSTON, TX",,,,,,,
HONEY SAUCE,0.0,,KFC / TB (919 FEDERAL RD),"UBEREATS, HOUSTON, TX",,,,,,,
KETCHUP,0.0,,KFC / TB (919 FEDERAL RD),"UBEREATS, HOUSTON, TX",,,,,,,
HOT SAUCE,0.0,,KFC / TB (919 FEDERAL RD),"UBEREATS, HOUSTON, TX",,,,,,,
HONEY BBQ SAUCE,0.0,,KFC / TB (919 FEDERAL RD),"UBEREATS, HOUSTON, TX",,,,,,,
CLASSIC RANCH,0.0,,KFC / TB (919 FEDERAL RD),"UBEREATS, HOUSTON, TX",,,,,,,
HONEY MUSTARD SAUCE,0.0,,KFC / TB (919 FEDERAL RD),"UBEREATS, HOUSTON, TX",,,,,,,
KFC SAUCE,0.0,,KFC / TB (919 FEDERAL RD),"UBEREATS, HOUSTON, TX",,,,,,,
